name,mcu
STM32F030ChEv,stm32f030f4px
STM32F103BluePill,stm32f103c8tx
STM32F0DISCOVERY,stm32f051r8tx
STM32F0308-DISCO,stm32f030r8tx
STM32F072B-DISCO,stm32f072rbtx
NUCLEO-F207ZG,stm32f207zgtx
STM3220G-EVAL,stm32f207ighx
STM3221G-EVAL,stm32f217ighx
STM32F3DISCOVERY,stm32f303vctx
STM32303C-EVAL,stm32f303vctx
STM32373C-EVAL,stm32f373vctx
STM32F4DISCOVERY,stm32f407vgtx
STM32F401C-DISCO,stm32f401vctx
STM32F429I-DISCO,stm32f429zitx
STM3240G-EVAL,stm32f407ighx
STM3241G-EVAL,stm32f417ighx
STM32429I-EVAL1,stm32f429nihx
STM32439I-EVAL2,stm32f439nihx
STM32L-DISCOVERY,stm32l152rbtx
STM32L100C-DISCO,stm32l100rctx
STM32L152C-DISCO,stm32l152rctx
STM32L152D-EVAL,stm32l152zdtx
NUCLEO-F030R8,stm32f030r8tx
NUCLEO-F072RB,stm32f072rbtx
NUCLEO-F070RB,stm32f070rbtx
STM32072B-EVAL,stm32f072vbtx
NUCLEO-F091RC,stm32f091rctx
NUCLEO-F042K6,stm32f042k6tx
NUCLEO-F031K6,stm32f031k6tx
STM32091C-EVAL,stm32f091vctx
STM32VLDISCOVERY,stm32f100rbtx
NUCLEO-F103RB,stm32f103rbtx
STM32100E-EVAL,stm32f100zetx
STM3210C-EVAL,stm32f107vctx
STM3210E-EVAL,stm32f103zgtx
NUCLEO-F302R8,stm32f302r8tx
NUCLEO-F334R8,stm32f334r8tx
NUCLEO-F303RE,stm32f303retx
NUCLEO-F303K8,stm32f303k8tx
NUCLEO-F303ZE,stm32f303zetx
STM32F3348DISCOVERY,stm32f334c8tx
STM32F3348-DISCO,stm32f334c8tx
STM32303E-EVAL,stm32f303vetx
NUCLEO-F401RE,stm32f401retx
NUCLEO-F411RE,stm32f411retx
STM32F411E-DISCO,stm32f411vetx
NUCLEO-F446RE,stm32f446retx
STM32446E-EVAL,stm32f446zetx
STM32469I-EVAL,stm32f469nihx
STM32479I-EVAL,stm32f479nihx
STM32F469I-DISCO,stm32f469nihx
NUCLEO-F410RB,stm32f410rbtx
STM32F429I-DISC1,stm32f429zitx
STM32F407G-DISC1,stm32f407vgtx
STM32F412G-DISCO,stm32f412zgtx
STM32F413H-DISCO,stm32f413zhtx
NUCLEO-F412ZG,stm32f412zgtx
NUCLEO-F446ZE,stm32f446zetx
NUCLEO-F429ZI,stm32f429zitx
NUCLEO-F413ZH,stm32f413zhtx
NUCLEO-F439ZI,stm32f439zitx
STEVAL-IDP005V1,stm32f469aiyx
STEVAL-IDP005V2,stm32f469aiyx
STM32746G-EVAL,stm32f746nghx
STM32746G-EVAL2,stm32f746nghx
STM32756G-EVAL,stm32f756nghx
STM32756G-EVAL2,stm32f756nghx
STM32F769I-EVAL,stm32f769nihx
STM32F779I-EVAL,stm32f779nihx
STM32F746G-DISCO,stm32f746nghx
STM32F769I-DISCO,stm32f769nihx
STM32F769I-DISC1,stm32f769nihx
STM32F723E-DISCO,stm32f723iekx
STM32F7308-DISCO,stm32f730i8kx
STM32F7308-DK,stm32f730i8kx
STM32F7508-DISCO,stm32f750n8hx
STM32F7508-DK,stm32f750n8hx
NUCLEO-F746ZG,stm32f746zgtx
NUCLEO-F767ZI,stm32f767zitx
NUCLEO-F722ZE,stm32f722zetx
STM32H743I-EVAL,stm32h743xihx
STM32H743I-EVAL2,stm32h743xihx
STM32H753I-EVAL,stm32h753xihx
STM32H753I-EVAL2,stm32h753xihx
NUCLEO-H743ZI,stm32h743zitx
NUCLEO-H743ZI2,stm32h743zitx
NUCLEO-H753ZI,stm32h753zitx
NUCLEO-H745ZI-Q,stm32h745zitx
NUCLEO-H755ZI-Q,stm32h755zitx
STM32H745I-DISCO,stm32h745xihx
STM32H747I-DISCO,stm32h747xihx
STM32H747I-DISC1,stm32h747xihx
STM32H747I-EVAL,stm32h747xihx
STM32H757I-EVAL,stm32h757xihx
STM32H750B-DK,stm32h750xbhx
STM32H7B3I-DK,stm32h7b3lihxq
STM32H7B3I-EVAL,stm32h7b3lihxq
NUCLEO-H7A3ZI-Q,stm32h7a3zitxq
NUCLEO-L152RE,stm32l152retx
NUCLEO-L053R8,stm32l053r8tx
STM32L0538DISCOVERY,stm32l053c8tx
STM32L0538-DISCO,stm32l053c8tx
NUCLEO-L031K6,stm32l031k6tx
NUCLEO-L073RZ,stm32l073rztx
STM32L073Z-EVAL,stm32l073vztx
NUCLEO-L011K4,stm32l011k4tx
NUCLEO-L010RB,stm32l010rbtx
B-L072Z-LRWAN1,stm32l072czyx
NUCLEO-L412KB,stm32l412kbux
NUCLEO-L412RB-P,stm32l412rbtxp
NUCLEO-L452RE-P,stm32l452retxp
NUCLEO-L476RG,stm32l476rgtx
STM32L476G-DISCO,stm32l476vgtx
B-L475E-IOT01A,stm32l475vgtx
B-L475E-IOT01A1,stm32l475vgtx
STM32L496G-DISCO,stm32l496agix
STM32L476G-EVAL,stm32l476zgtx
NUCLEO-L432KC,stm32l432kcux
NUCLEO-L433RC-P,stm32l433rctxp
NUCLEO-L452RE,stm32l452retx
NUCLEO-L496ZG,stm32l496zgtx
NUCLEO-L496ZG-P,stm32l496zgtxp
NUCLEO-L4R5ZI,stm32l4r5zitx
NUCLEO-L4R5ZI-P,stm32l4r5zitxp
STM32L4R9I-DISCO,stm32l4r9aiix
STM32L4R9I-EVAL,stm32l4r9aiix
STEVAL-MKSBOX1V1,stm32l4r9zijx
STEVAL-STWINKT1,stm32l4r9zijx
STM32L4P5G-DK,stm32l4p5agixp
NUCLEO-L4P5ZG,stm32l4p5zgtx
NUCLEO-L552ZE-Q,stm32l552zetxq
STM32L562E-DK,stm32l562qeixq
STM32L552E-EV,stm32l552zetxq
NUCLEO-G031K8,stm32g031k8tx
NUCLEO-G070RB,stm32g070rbtx
NUCLEO-G071RB,stm32g071rbtx
STM32G0316-DISCO,stm32g031j6mx
STM32G071B-DISCO,stm32g071rbtx
STM32G081B-EVAL,stm32g081rbtx
B-G474E-DPOW1,stm32g474retx
STM32G474E-EVAL,stm32g474qetx
STM32G474E-EVAL1,stm32g474qetx
STM32G484E-EVAL,stm32g484qetx
NUCLEO-G474RE,stm32g474retx
B-G431B-ESC1,stm32g431cbux
NUCLEO-G431KB,stm32g431kbtx
NUCLEO-G431RB,stm32g431rbtx
P-NUCLEO-WB55.USBDONGLE,stm32wb55cgux
P-NUCLEO-WB55.NUCLEO,stm32wb55rgvx
P-NUCLEO-WB55-USBDONGLE,stm32wb55cgux
P-NUCLEO-WB55-NUCLEO,stm32wb55rgvx
NUCLEO-WB35CE,stm32wb35ceux
STM32H735G-DK,stm32h735igkx
NUCLEO-H723ZG,stm32h723zgtx
NUCLEO-WL55JC1,stm32wl55jcix
NUCLEO-WL55JC2,stm32wl55jcix
STM32WL55C-DK1,stm32wl55ccux
STM32WL55C-DK2,stm32wl55ccux
NUCLEO-U575ZI-Q,stm32u575zitxq
B-U585I-IOT02A,stm32u585aiixq
STM32U575I-EV,stm32u575aiixq
STM32MP157C-EV1,stm32mp157caax
STM32MP157A-EV1,stm32mp157aaax
STM32MP157C-DK2,stm32mp157cacx
STM32MP157A-DK1,stm32mp157aacx
