name,series,core,fpu,package,defines,ram_address,ram_size,ram_end,rom_address,rom_size,rom_end
STM32F030C6Tx,stm32f0,cortex-m0,,LQFP48,STM32;STM32F0;STM32F030C6Tx;STM32F030x6,0x20000000,0x1000,0x20001000,0x08000000,0x8000,0x08008000
STM32F030C8Tx,stm32f0,cortex-m0,,LQFP48,STM32;STM32F0;STM32F030C8Tx;STM32F030x8,0x20000000,0x2000,0x20002000,0x08000000,0x10000,0x08010000
STM32F030CCTx,stm32f0,cortex-m0,,LQFP48,STM32;STM32F0;STM32F030CCTx;STM32F030xC,0x20000000,0x8000,0x20008000,0x08000000,0x40000,0x08040000
STM32F030F4Px,stm32f0,cortex-m0,,TSSOP20,STM32;STM32F0;STM32F030F4Px;STM32F030x6,0x20000000,0x1000,0x20001000,0x08000000,0x4000,0x08004000
STM32F030K6Tx,stm32f0,cortex-m0,,LQFP32,STM32;STM32F0;STM32F030K6Tx;STM32F030x6,0x20000000,0x1000,0x20001000,0x08000000,0x8000,0x08008000
STM32F030R8Tx,stm32f0,cortex-m0,,LQFP64,STM32;STM32F0;STM32F030R8Tx;STM32F030x8,0x20000000,0x2000,0x20002000,0x08000000,0x10000,0x08010000
STM32F030RCTx,stm32f0,cortex-m0,,LQFP64,STM32;STM32F0;STM32F030RCTx;STM32F030xC,0x20000000,0x8000,0x20008000,0x08000000,0x40000,0x08040000
STM32F070C6Tx,stm32f0,cortex-m0,,LQFP48,STM32;STM32F0;STM32F070C6Tx;STM32F070x6,0x20000000,0x1800,0x20001800,0x08000000,0x8000,0x08008000
STM32F070CBTx,stm32f0,cortex-m0,,LQFP48,STM32;STM32F0;STM32F070CBTx;STM32F070xB,0x20000000,0x4000,0x20004000,0x08000000,0x20000,0x08020000
STM32F070F6Px,stm32f0,cortex-m0,,TSSOP20,STM32;STM32F0;STM32F070F6Px;STM32F070x6,0x20000000,0x1800,0x20001800,0x08000000,0x8000,0x08008000
STM32F070RBTx,stm32f0,cortex-m0,,LQFP64,STM32;STM32F0;STM32F070RBTx;STM32F070xB,0x20000000,0x4000,0x20004000,0x08000000,0x20000,0x08020000
STM32F031C4Tx,stm32f0,cortex-m0,,LQFP48,STM32;STM32F0;STM32F031C4Tx;STM32F031x6,0x20000000,0x1000,0x20001000,0x08000000,0x4000,0x08004000
STM32F031C6Tx,stm32f0,cortex-m0,,LQFP48,STM32;STM32F0;STM32F031C6Tx;STM32F031x6,0x20000000,0x1000,0x20001000,0x08000000,0x8000,0x08008000
STM32F031E6Yx,stm32f0,cortex-m0,,WLCSP25,STM32;STM32F0;STM32F031E6Yx;STM32F031x6,0x20000000,0x1000,0x20001000,0x08000000,0x8000,0x08008000
STM32F031F4Px,stm32f0,cortex-m0,,TSSOP20,STM32;STM32F0;STM32F031F4Px;STM32F031x6,0x20000000,0x1000,0x20001000,0x08000000,0x4000,0x08004000
STM32F031F6Px,stm32f0,cortex-m0,,TSSOP20,STM32;STM32F0;STM32F031F6Px;STM32F031x6,0x20000000,0x1000,0x20001000,0x08000000,0x8000,0x08008000
